acceleration,topspeed,erange_real,efficiency,fastcharge_speed hidden,model,battery,car_link,car_oem,market_segment
5.0,210,490,218,640.0,3,107.0,https://ev-database.org/car/1758/Polestar-3-Long-Range-Dual-motor,Polestar,E
2.3,290,475,204,1050.0,Taycan,97.0,https://ev-database.org/car/2144/Porsche-Taycan-Turbo-GT,Porsche,F
7.5,160,335,188,450.0,Ariya,63.0,https://ev-database.org/car/1301/Nissan-Ariya-63kWh,Nissan,C
6.6,180,440,175,660.0,Enyaq,77.0,https://ev-database.org/car/2021/Skoda-Enyaq-85x,Skoda,C
6.4,200,395,192,830.0,G9,75.8,https://ev-database.org/car/1824/XPENG-G9-RWD-Standard-Range,XPENG,E
4.2,250,530,189,1230.0,Emeya,100.0,https://ev-database.org/car/2141/Lotus-Emeya,Lotus,F
5.4,180,420,183,630.0,ID.4,77.0,https://ev-database.org/car/2030/Volkswagen-ID4-GTX,Volkswagen,C
6.4,200,480,194,1120.0,G9,93.1,https://ev-database.org/car/1825/XPENG-G9-RWD-Long-Range,XPENG,E
3.7,250,550,176,1210.0,Taycan,97.0,https://ev-database.org/car/2101/Porsche-Taycan-4S-Plus,Porsche,F
7.5,150,315,190,380.0,U5,60.0,https://ev-database.org/car/1678/Aiways-U5,Aiways,C
9.0,160,285,182,360.0,ID.4,52.0,https://ev-database.org/car/2027/Volkswagen-ID4-Pure,Volkswagen,C
6.1,193,455,178,730.0,i5,81.2,https://ev-database.org/car/2114/BMW-i5-eDrive40-Touring,BMW,E
6.6,180,425,181,630.0,ID.4,77.0,https://ev-database.org/car/2029/Volkswagen-ID4-Pro-4MOTION,Volkswagen,C
5.9,180,465,230,610.0,EX90,107.0,https://ev-database.org/car/1775/Volvo-EX90-Twin-Motor,Volvo,F
3.8,200,505,178,530.0,ET7,90.0,https://ev-database.org/car/1752/NIO-ET7-100-kWh,NIO,F
4.9,200,350,200,380.0,Marvel,70.0,https://ev-database.org/car/1475/MG-Marvel-R-Performance,MG,C
7.8,185,390,190,1020.0,GV60,74.0,https://ev-database.org/car/1647/Genesis-GV60-Premium,Genesis,C
6.7,200,495,167,800.0,P7,82.7,https://ev-database.org/car/1821/XPENG-P7-RWD-Long-Range,XPENG,E
2.7,320,420,198,980.0,GranTurismo,83.0,https://ev-database.org/car/1803/Maserati-GranTurismo-Folgore,Maserati,F
7.3,180,420,188,630.0,EC40,79.0,https://ev-database.org/car/2124/Volvo-EC40-Single-Motor-ER,Volvo,C
7.3,180,380,191,460.0,Mustang,72.6,https://ev-database.org/car/2034/Ford-Mustang-Mach-E-SR-RWD,Ford,D
5.6,210,610,178,910.0,EQS,108.4,https://ev-database.org/car/2009/Mercedes-Benz-EQS-450-4MATIC,Mercedes-Benz,F
8.0,160,345,193,500.0,EQB,66.5,https://ev-database.org/car/1989/Mercedes-Benz-EQB-300-4MATIC,Mercedes-Benz,C
3.7,250,490,208,730.0,i7,101.7,https://ev-database.org/car/1838/BMW-i7-M70-xDrive,BMW,F
8.5,156,290,193,330.0,Korando,56.0,https://ev-database.org/car/1589/SsangYong-Korando-e-Motion,SsangYong,C
5.4,180,395,195,590.0,Q4,77.0,https://ev-database.org/car/2015/Audi-Q4-e-tron-55-quattro,Audi,C
5.6,180,355,180,530.0,X,64.0,https://ev-database.org/car/1936/Zeekr-X-Long-Range-RWD,Zeekr,B
6.5,200,320,239,440.0,E-HS9,76.5,https://ev-database.org/car/1746/Hongqi-E-HS9-84-kWh,Hongqi,F
4.8,180,385,205,570.0,EX40,79.0,https://ev-database.org/car/2136/Volvo-EX40-Twin-Motor,Volvo,C
9.3,170,310,164,500.0,Astra,50.8,https://ev-database.org/car/1793/Opel-Astra-Sports-Tourer-Electric,Opel,C
6.8,210,540,219,680.0,EQS,118.0,https://ev-database.org/car/2087/Mercedes-Benz-EQS-SUV-450plus,Mercedes-Benz,F
7.3,160,235,157,360.0,Cooper,37.0,https://ev-database.org/car/1997/Mini-Cooper-E,Mini,B
6.5,160,355,242,570.0,ID.,86.0,https://ev-database.org/car/2157/Volkswagen-ID-Buzz-LWB-GTX-,Volkswagen,N
6.7,180,435,177,650.0,Q4,77.0,https://ev-database.org/car/2016/Audi-Q4-Sportback-e-tron-45,Audi,C
5.5,205,520,196,780.0,i7,101.7,https://ev-database.org/car/1905/BMW-i7-eDrive50,BMW,F
8.6,150,340,176,400.0,Scenic,60.0,https://ev-database.org/car/2068/Renault-Scenic-E-Tech-EV60-170hp,Renault,C
10.0,150,260,154,370.0,Megane,40.0,https://ev-database.org/car/1536/Renault-Megane-E-Tech-EV40-130hp,Renault,C
4.7,200,565,163,940.0,Air,92.0,https://ev-database.org/car/2116/Lucid-Air-Pure-RWD,Lucid,F
4.5,210,455,233,570.0,SQ8,106.0,https://ev-database.org/car/1773/Audi-SQ8-e-tron,Audi,E
3.7,200,425,214,380.0,Mustang,91.0,https://ev-database.org/car/2038/Ford-Mustang-Mach-E-GT,Ford,D
12.6,132,220,205,230.0,Kangoo,45.0,https://ev-database.org/car/1802/Renault-Kangoo-E-Tech-Electric,Renault,N
8.9,155,260,196,240.0,3,51.0,https://ev-database.org/car/1804/Seres-3,Seres,C
2.2,305,475,204,1050.0,Taycan,97.0,https://ev-database.org/car/2145/Porsche-Taycan-Turbo-GT-Weissach,Porsche,F
6.6,180,470,164,700.0,Enyaq,77.0,https://ev-database.org/car/2025/Skoda-Enyaq-Coupe-85x,Skoda,C
5.8,180,355,175,550.0,#3,62.0,https://ev-database.org/car/2054/Smart-3-Premium,Smart,B
8.1,150,315,153,490.0,Corsa,48.1,https://ev-database.org/car/1942/Opel-Corsa-Electric-51-kWh,Opel,B
3.9,200,430,209,450.0,EL7,90.0,https://ev-database.org/car/1789/NIO-EL7-100-kWh,NIO,F
4.9,200,460,243,420.0,E-HS9,112.0,https://ev-database.org/car/2050/Hongqi-E-HS9-120-kWh,Hongqi,F
4.5,200,435,207,630.0,EL6,90.0,https://ev-database.org/car/1922/NIO-EL6-100-kWh,NIO,E
9.9,150,270,171,430.0,e-2008,46.3,https://ev-database.org/car/1946/Peugeot-e-2008-50-kWh,Peugeot,B
5.6,180,370,175,500.0,Countryman,64.7,https://ev-database.org/car/1995/Mini-Countryman-SE-ALL4,Mini,C
8.2,160,340,174,290.0,ORA,59.3,https://ev-database.org/car/2092/GWM-ORA-3-63-kWh,GWM,C
13.7,125,160,156,170.0,Spring,25.0,https://ev-database.org/car/2127/Dacia-Spring-Electric-65,Dacia,A
8.0,160,370,232,470.0,ID.,86.0,https://ev-database.org/car/2155/Volkswagen-ID-Buzz-LWB-Pro-S,Volkswagen,N
4.9,225,440,188,880.0,G80,82.5,https://ev-database.org/car/1703/Genesis-G80-Electrified-Luxury,Genesis,F
10.0,150,330,154,470.0,e-C4,50.8,https://ev-database.org/car/1939/Citroen-e-C4-X-54-kWh,Citroen,C
3.9,200,465,200,1080.0,G9,93.1,https://ev-database.org/car/1826/XPENG-G9-AWD-Performance,XPENG,E
4.2,205,450,176,670.0,2,79.0,https://ev-database.org/car/1820/Polestar-2-Long-Range-Performance,Polestar,D
9.0,135,135,158,230.0,500e,21.3,https://ev-database.org/car/1327/Fiat-500e-Hatchback-24-kWh,Fiat,B
6.8,180,450,171,670.0,Tavascan,77.0,https://ev-database.org/car/1971/CUPRA-Tavascan-Endurance,CUPRA,C
10.5,150,380,158,530.0,Megane,60.0,https://ev-database.org/car/1588/Renault-Megane-E-Tech-EV60-130hp,Renault,C
4.4,210,490,241,620.0,EQS,118.0,https://ev-database.org/car/2086/Mercedes-Benz-EQS-SUV-Maybach-680,Mercedes-Benz,F
4.8,180,400,198,600.0,EC40,79.0,https://ev-database.org/car/2137/Volvo-EC40-Twin-Motor,Volvo,C
5.4,215,455,178,730.0,i5,81.2,https://ev-database.org/car/2096/BMW-i5-xDrive40-Sedan,BMW,E
4.1,220,405,235,440.0,Grecale,95.0,https://ev-database.org/car/1843/Maserati-Grecale-Folgore,Maserati,E
5.7,200,405,215,480.0,Ariya,87.0,https://ev-database.org/car/1304/Nissan-Ariya-e-4ORCE-87kWh---225-kW,Nissan,C
4.0,200,485,186,700.0,ET5,90.0,https://ev-database.org/car/1916/NIO-ET5-Touring-100-kWh,NIO,E
4.9,180,450,238,590.0,EX90,107.0,https://ev-database.org/car/1776/Volvo-EX90-Twin-Motor-Performance,Volvo,F
5.9,180,265,177,340.0,#3,47.0,https://ev-database.org/car/2052/Smart-3-Pro,Smart,B
9.0,140,260,154,340.0,5,40.0,https://ev-database.org/car/2134/Renault-5-E-Tech-40kWh-120hp,Renault,B
5.6,200,460,172,690.0,ID.3,79.0,https://ev-database.org/car/2153/Volkswagen-ID3-GTX-Performance,Volkswagen,C
6.6,210,435,208,550.0,EQE,90.6,https://ev-database.org/car/2047/Mercedes-Benz-EQE-SUV-350-4MATIC,Mercedes-Benz,E
12.6,132,225,200,230.0,Townstar,45.0,https://ev-database.org/car/2042/Nissan-Townstar-EV-Passenger,Nissan,N
4.7,210,530,223,670.0,EQS,118.0,https://ev-database.org/car/2090/Mercedes-Benz-EQS-SUV-580-4MATIC,Mercedes-Benz,F
7.9,167,370,173,350.0,e-Soul,64.0,https://ev-database.org/car/1749/Kia-e-Soul-64-kWh,Kia,B
9.0,150,300,169,450.0,e-308,50.8,https://ev-database.org/car/1745/Peugeot-e-308-SW,Peugeot,C
7.7,185,265,174,320.0,MG5,46.0,https://ev-database.org/car/1646/MG-MG5-Electric-Standard-Range,MG,C
7.5,160,340,188,170.0,UX,64.0,https://ev-database.org/car/1943/Lexus-UX-300e,Lexus,C
9.0,150,235,159,390.0,500e,37.3,https://ev-database.org/car/1328/Fiat-500e-3plus1-42-kWh,Fiat,B
9.0,150,300,169,480.0,3,50.8,https://ev-database.org/car/1791/DS-3-E-Tense,DS,B
2.4,260,500,194,1100.0,Taycan,97.0,https://ev-database.org/car/2103/Porsche-Taycan-Turbo-S,Porsche,F
6.4,210,515,173,650.0,EQE,89.0,https://ev-database.org/car/1898/Mercedes-Benz-EQE-350,Mercedes-Benz,E
3.4,250,535,203,800.0,EQS,108.4,https://ev-database.org/car/2012/Mercedes-Benz-EQS-AMG-53-4MATICplus,Mercedes-Benz,F
5.5,180,430,179,640.0,ID.5,77.0,https://ev-database.org/car/2033/Volkswagen-ID5-GTX,Volkswagen,C
7.7,160,350,190,500.0,EQA,66.5,https://ev-database.org/car/1986/Mercedes-Benz-EQA-300-4MATIC,Mercedes-Benz,C
4.2,250,530,189,1230.0,Emeya,100.0,https://ev-database.org/car/2142/Lotus-Emeya-S,Lotus,F
9.0,150,290,175,460.0,Mokka-e,50.8,https://ev-database.org/car/2051/Opel-Mokka-e-54-kWh,Opel,B
11.7,132,230,217,340.0,e-Berlingo,50.0,https://ev-database.org/car/2160/Citroen-e-Berlingo-XL-50-kWh,Citroen,N
4.2,210,450,201,670.0,EQE,90.6,https://ev-database.org/car/1901/Mercedes-Benz-EQE-AMG-43-4MATIC,Mercedes-Benz,E
10.0,150,330,154,470.0,e-C4,50.8,https://ev-database.org/car/1938/Citroen-e-C4-54-kWh,Citroen,C
6.7,180,250,188,320.0,#1,47.0,https://ev-database.org/car/2041/Smart-1-Pro,Smart,B
6.2,180,350,207,430.0,Mustang,72.6,https://ev-database.org/car/2036/Ford-Mustang-Mach-E-SR-AWD,Ford,D
4.5,250,480,227,1000.0,Eletre,109.0,https://ev-database.org/car/2066/Lotus-Eletre-S,Lotus,F
3.8,200,495,190,670.0,001,94.0,https://ev-database.org/car/1935/Zeekr-001-Privilege-AWD,Zeekr,E
11.7,132,235,213,350.0,e-Berlingo,50.0,https://ev-database.org/car/2159/Citroen-e-Berlingo-M-50-kWh,Citroen,N
4.0,200,395,178,590.0,ET5,70.5,https://ev-database.org/car/1786/NIO-ET5-75-kWh,NIO,E
7.3,180,360,186,560.0,EC40,67.0,https://ev-database.org/car/2123/Volvo-EC40-Single-Motor,Volvo,C
6.1,210,530,223,670.0,EQS,118.0,https://ev-database.org/car/2088/Mercedes-Benz-EQS-SUV-450-4MATIC,Mercedes-Benz,F
7.6,210,450,201,570.0,EQE,90.6,https://ev-database.org/car/2045/Mercedes-Benz-EQE-SUV-300,Mercedes-Benz,E
3.7,250,475,173,1050.0,Taycan,82.3,https://ev-database.org/car/2100/Porsche-Taycan-4S,Porsche,F
4.2,235,350,211,860.0,GV70,74.0,https://ev-database.org/car/1725/Genesis-GV70-Electrified-Sport,Genesis,D
5.8,180,355,175,550.0,#3,62.0,https://ev-database.org/car/1999/Smart-3-Proplus,Smart,B
4.9,210,455,211,630.0,EQE,96.0,https://ev-database.org/car/2048/Mercedes-Benz-EQE-SUV-500-4MATIC,Mercedes-Benz,E
6.7,180,335,185,520.0,#1,62.0,https://ev-database.org/car/2053/Smart-1-Premium,Smart,B
4.7,210,470,228,610.0,3,107.0,https://ev-database.org/car/1759/Polestar-3-Long-Range-Performance,Polestar,E
6.6,180,415,186,620.0,Q4,77.0,https://ev-database.org/car/2017/Audi-Q4-Sportback-e-tron-45-quattro,Audi,C
4.8,210,590,184,880.0,EQS,108.4,https://ev-database.org/car/2010/Mercedes-Benz-EQS-500-4MATIC,Mercedes-Benz,F
8.4,180,460,220,600.0,EX90,101.0,https://ev-database.org/car/1950/Volvo-EX90-Single-Motor,Volvo,F
4.7,210,505,179,750.0,EQE,90.6,https://ev-database.org/car/1900/Mercedes-Benz-EQE-500-4MATIC,Mercedes-Benz,E
6.3,210,510,175,640.0,EQE,89.0,https://ev-database.org/car/1899/Mercedes-Benz-EQE-350-4MATIC,Mercedes-Benz,E
12.1,160,315,286,320.0,EQV,90.0,https://ev-database.org/car/2131/Mercedes-Benz-EQV-300-Long,Mercedes-Benz,N
6.6,160,345,168,460.0,Born,58.0,https://ev-database.org/car/1517/CUPRA-Born-170-kW---58-kWh,CUPRA,C
2.8,256,470,213,1090.0,Emeya,100.0,https://ev-database.org/car/2143/Lotus-Emeya-R,Lotus,F
6.4,180,380,192,440.0,e-3008,73.0,https://ev-database.org/car/2004/Peugeot-e-3008-73-kWh-Dual-Motor,Peugeot,C
8.0,160,255,176,260.0,DOLPHIN,44.9,https://ev-database.org/car/1918/BYD-DOLPHIN-449-kWh-Boost,BYD,C
4.6,180,380,208,570.0,EX40,79.0,https://ev-database.org/car/2122/Volvo-EX40-Twin-Motor-Performance,Volvo,C
4.8,230,515,188,1130.0,Taycan,97.0,https://ev-database.org/car/2105/Porsche-Taycan-Plus-Sport-Turismo,Porsche,F
5.5,180,435,177,650.0,Enyaq,77.0,https://ev-database.org/car/2022/Skoda-Enyaq-RS,Skoda,C
4.6,180,400,198,600.0,EC40,79.0,https://ev-database.org/car/2125/Volvo-EC40-Twin-Motor-Performance,Volvo,C
5.9,200,425,206,550.0,VF,87.7,https://ev-database.org/car/1807/VinFast-VF-8-Eco-Extended-Range,VinFast,D
4.1,200,460,180,740.0,P7,82.7,https://ev-database.org/car/1822/XPENG-P7-AWD-Performance,XPENG,E
5.4,180,415,186,620.0,Q4,77.0,https://ev-database.org/car/2018/Audi-Q4-Sportback-e-tron-55-quattro,Audi,C
6.9,210,475,202,660.0,EQE,96.0,https://ev-database.org/car/2046/Mercedes-Benz-EQE-SUV-350plus,Mercedes-Benz,E
7.0,155,225,168,370.0,500e,37.8,https://ev-database.org/car/1903/Abarth-500e-Hatchback,Abarth,B
9.9,157,230,170,200.0,e-Soul,39.2,https://ev-database.org/car/1750/Kia-e-Soul-392-kWh,Kia,B
9.0,150,230,162,380.0,500e,37.3,https://ev-database.org/car/1275/Fiat-500e-Cabrio-42-kWh,Fiat,B
4.5,210,480,221,610.0,SQ8,106.0,https://ev-database.org/car/1774/Audi-SQ8-e-tron-Sportback,Audi,E
5.3,210,530,223,670.0,EQS,118.0,https://ev-database.org/car/2089/Mercedes-Benz-EQS-SUV-500-4MATIC,Mercedes-Benz,F
3.9,230,415,196,670.0,i5,81.2,https://ev-database.org/car/2115/BMW-i5-M60-xDrive-Touring,BMW,E
3.5,220,450,201,670.0,EQE,90.6,https://ev-database.org/car/1902/Mercedes-Benz-EQE-AMG-53-4MATICplus,Mercedes-Benz,E
12.6,132,225,200,230.0,EQT,45.0,https://ev-database.org/car/1908/Mercedes-Benz-EQT-200-Standard,Mercedes-Benz,N
6.0,160,350,190,500.0,EQA,66.5,https://ev-database.org/car/1987/Mercedes-Benz-EQA-350-4MATIC,Mercedes-Benz,C
3.5,240,410,221,610.0,EQE,90.6,https://ev-database.org/car/1764/Mercedes-Benz-EQE-SUV-AMG-53-4MATICplus,Mercedes-Benz,E
5.1,200,405,215,480.0,Ariya,87.0,https://ev-database.org/car/1305/Nissan-Ariya-e-4ORCE-87kWh---290-kW,Nissan,C
4.7,220,505,192,1110.0,Taycan,97.0,https://ev-database.org/car/2110/Porsche-Taycan-4-Cross-Turismo,Porsche,F
6.0,170,365,200,420.0,e-5008,73.0,https://ev-database.org/car/2150/Peugeot-e-5008-73-kWh-Dual-Motor,Peugeot,D
12.1,160,320,281,320.0,eVito,90.0,https://ev-database.org/car/2140/Mercedes-Benz-eVito-Tourer-Long-90-kWh,Mercedes-Benz,N
3.8,240,505,192,1110.0,Taycan,97.0,https://ev-database.org/car/2111/Porsche-Taycan-4S-Cross-Turismo,Porsche,F
6.0,200,445,200,690.0,Q8,89.0,https://ev-database.org/car/1771/Audi-Q8-e-tron-Sportback-50-quattro,Audi,E
8.8,160,355,163,480.0,Enyaq,58.0,https://ev-database.org/car/2023/Skoda-Enyaq-Coupe-60,Skoda,C
8.0,150,390,208,290.0,BEO,81.0,https://ev-database.org/car/1975/Elaris-BEO-86-kWh,Elaris,D
4.3,210,415,218,620.0,EQE,90.6,https://ev-database.org/car/1763/Mercedes-Benz-EQE-SUV-AMG-43-4MATIC,Mercedes-Benz,E
8.2,160,325,182,280.0,ORA,59.3,https://ev-database.org/car/2093/GWM-ORA-3-GT,GWM,C
7.9,160,335,230,460.0,ID.,77.0,https://ev-database.org/car/2154/Volkswagen-ID-Buzz-LWB-Pro,Volkswagen,N
4.0,200,385,183,570.0,ET5,70.5,https://ev-database.org/car/1915/NIO-ET5-Touring-75-kWh,NIO,E
9.0,135,135,158,230.0,500e,21.3,https://ev-database.org/car/1727/Fiat-500e-Cabrio-24-kWh,Fiat,B
2.5,250,475,204,1050.0,Taycan,97.0,https://ev-database.org/car/2113/Porsche-Taycan-Turbo-S-Cross-Turismo,Porsche,F
2.7,260,520,187,1140.0,Taycan,97.0,https://ev-database.org/car/2102/Porsche-Taycan-Turbo,Porsche,F
5.5,200,380,195,990.0,GV60,74.0,https://ev-database.org/car/1648/Genesis-GV60-Sport,Genesis,C
5.5,200,425,206,550.0,VF,87.7,https://ev-database.org/car/1809/VinFast-VF-8-Plus-Extended-Range,VinFast,D
4.5,180,325,191,500.0,#1,62.0,https://ev-database.org/car/1920/Smart-1-Pulse,Smart,B
3.7,250,495,196,1090.0,Taycan,97.0,https://ev-database.org/car/2107/Porsche-Taycan-4S-Plus-Sport-Turismo,Porsche,F
4.5,200,350,201,520.0,EL6,70.5,https://ev-database.org/car/1921/NIO-EL6-75-kWh,NIO,E
9.0,135,135,158,230.0,500e,21.3,https://ev-database.org/car/1726/Fiat-500e-3plus1-24-kWh,Fiat,B
3.9,200,340,207,510.0,EL7,70.5,https://ev-database.org/car/1788/NIO-EL7-75-kWh,NIO,F
7.0,155,225,168,370.0,500e,37.8,https://ev-database.org/car/1904/Abarth-500e-Convertible,Abarth,B
2.4,260,460,211,1010.0,Taycan,97.0,https://ev-database.org/car/2109/Porsche-Taycan-Turbo-S-Sport-Turismo,Porsche,F
7.0,160,350,171,430.0,U6,60.0,https://ev-database.org/car/1766/Aiways-U6,Aiways,C
3.7,250,430,191,950.0,Taycan,82.3,https://ev-database.org/car/2106/Porsche-Taycan-4S-Sport-Turismo,Porsche,F
2.8,250,495,196,1090.0,Taycan,97.0,https://ev-database.org/car/2112/Porsche-Taycan-Turbo-Cross-Turismo,Porsche,F
12.0,160,215,279,200.0,EQV,60.0,https://ev-database.org/car/2129/Mercedes-Benz-EQV-250-Long,Mercedes-Benz,N
12.0,160,210,286,200.0,EQV,60.0,https://ev-database.org/car/2130/Mercedes-Benz-EQV-250-Extra-Long,Mercedes-Benz,N
4.8,230,445,185,980.0,Taycan,82.3,https://ev-database.org/car/2104/Porsche-Taycan-Sport-Turismo,Porsche,F
12.0,160,215,279,200.0,eVito,60.0,https://ev-database.org/car/2139/Mercedes-Benz-eVito-Tourer-Extra-Long-60-kWh,Mercedes-Benz,N
2.7,260,470,206,1030.0,Taycan,97.0,https://ev-database.org/car/2108/Porsche-Taycan-Turbo-Sport-Turismo,Porsche,F
12.0,160,220,273,210.0,eVito,60.0,https://ev-database.org/car/2138/Mercedes-Benz-eVito-Tourer-Long-60-kWh,Mercedes-Benz,N
4.0,235,365,203,950.0,GV60,74.0,https://ev-database.org/car/1649/Genesis-GV60-Sport-Plus,Genesis,C
